step,value,wall_time
387067,2.237470865249634,1788540633.693262
387068,2.3312888145446777,1788540633.8557906
387069,2.276818037033081,1788540634.0203965
387070,2.2516720294952393,1788540634.1823573
387071,2.268317222595215,1788540634.3449714
387072,2.3364968299865723,1788540634.5081406
387073,2.2777645587921143,1788540634.6719434
387074,2.372877597808838,1788540634.8348753
387075,2.23777174949646,1788540634.9982808
387076,2.2726643085479736,1788540635.1597297
387077,2.295680522918701,1788540635.3211772
387078,2.275995969772339,1788540635.4872148
387079,2.3409533500671387,1788540635.6500628
387080,2.302504777908325,1788540635.8109748
387081,2.323227882385254,1788540635.9729986
387082,2.3332815170288086,1788540636.1349971
387083,2.3016059398651123,1788540636.2970777
387084,2.3038065433502197,1788540636.4602292
387085,2.210768938064575,1788540636.624101
387086,2.2733826637268066,1788540636.7867672
387087,2.241206169128418,1788540636.9509277
387088,2.255979537963867,1788540637.113433
387089,2.284595489501953,1788540637.2759712
387090,2.3150441646575928,1788540637.4389844
387091,2.335040330886841,1788540637.6010082
387092,2.2245583534240723,1788540637.7620087
387093,2.243069648742676,1788540637.9236891
387094,2.24613618850708,1788540638.0866838
387095,2.336690664291382,1788540638.2496834
387096,2.282416343688965,1788540638.4114342
387097,2.2477495670318604,1788540638.5743666
387098,2.3088600635528564,1788540638.7382681
387099,2.289712429046631,1788540638.9019842
387100,2.295144557952881,1788540639.0642102
387101,2.2786340713500977,1788540639.2273936
387102,2.3046443462371826,1788540639.390394
387103,2.279862403869629,1788540639.551903
387104,2.2553272247314453,1788540639.715713
387105,2.2655656337738037,1788540639.877496
387106,2.281743049621582,1788540640.0397723
387107,2.2362170219421387,1788540640.2023783
387108,2.303238868713379,1788540640.365496
387109,2.2897942066192627,1788540640.526691
387110,2.3234219551086426,1788540640.6906748
387111,2.320817232131958,1788540640.854539
387112,2.2249670028686523,1788540641.0170262
387113,2.2378740310668945,1788540641.180619
387114,2.2316701412200928,1788540641.3446424
387115,2.2676544189453125,1788540641.5050328
387116,2.292607069015503,1788540641.667772
387117,2.2982380390167236,1788540641.831587
387118,2.211501121520996,1788540641.986387
387119,2.2649474143981934,1788540642.1504133
387120,2.2949297428131104,1788540642.313415
387121,2.3065106868743896,1788540642.4781675
387122,2.2877516746520996,1788540642.6450899
387123,2.314253091812134,1788540642.8103473
387124,2.2781176567077637,1788540642.9737887
387125,2.295539140701294,1788540643.136958
387126,2.338663101196289,1788540643.2988572
387127,2.206923246383667,1788540643.461801
387128,2.2520766258239746,1788540643.6240778
387129,2.2378828525543213,1788540643.7866838
387130,2.23289155960083,1788540643.9495974
387131,2.2528486251831055,1788540644.1124017
387132,2.3411312103271484,1788540644.2753818
387133,2.2612040042877197,1788540644.4377058
387134,2.2704734802246094,1788540644.6007984
387135,2.18058443069458,1788540644.7631183
387136,2.2604568004608154,1788540644.9242666
387137,2.262115240097046,1788540645.0875173
387138,2.304413080215454,1788540645.2499251
387139,2.3007359504699707,1788540645.4124756
387140,2.2621381282806396,1788540645.574257
387141,2.329244613647461,1788540645.7369328
387142,2.3051366806030273,1788540645.8999922
387143,2.2287683486938477,1788540646.0611427
387144,2.229471206665039,1788540646.2232587
387145,2.2849440574645996,1788540646.384971
387146,2.2637393474578857,1788540646.5471432
387147,2.274064540863037,1788540646.7118413
387148,2.2676844596862793,1788540646.8740857
387149,2.2232272624969482,1788540647.0360773
387150,2.3057379722595215,1788540647.1996307
387151,2.3161423206329346,1788540647.3622599
387152,2.305842876434326,1788540647.5248592
387153,2.2539401054382324,1788540647.687262
387154,2.2598018646240234,1788540647.8493028
387155,2.278341293334961,1788540648.0116284
387156,2.254056930541992,1788540648.1739361
387157,2.310438871383667,1788540648.3371582
387158,2.233989715576172,1788540648.497634
387159,2.2800586223602295,1788540648.6604733
387160,2.258671522140503,1788540648.823044
387161,2.35386061668396,1788540648.985799
387162,2.345950126647949,1788540649.1477947
387163,2.3602144718170166,1788540649.3112857
387164,2.2767539024353027,1788540649.4738386
387165,2.280574083328247,1788540649.6363347
387166,2.316650390625,1788540649.7983348
387167,2.2745230197906494,1788540649.9603927
387168,2.2025532722473145,1788540650.121716
387169,2.3245277404785156,1788540650.2854671
387170,2.3383970260620117,1788540650.4483528
387171,2.3439390659332275,1788540650.6113198
387172,2.3184449672698975,1788540650.775136
387173,2.270947217941284,1788540650.9377272
387174,2.231126546859741,1788540651.100642
387175,2.2773149013519287,1788540651.2642648
