step,train_loss
257943,2.3910086154937744
257944,2.31866717338562
257945,2.325361967086792
257946,2.3275251388549805
257947,2.281057596206665
257948,2.3669650554656982
257949,2.3552346229553223
257950,2.2947428226470947
257951,2.307788848876953
257952,2.309870719909668
257953,2.3861873149871826
257954,2.3611395359039307
257955,2.311776638031006
257956,2.337568521499634
257957,2.3559036254882812
257958,2.353325128555298
257959,2.355407953262329
257960,2.367063283920288
257961,2.345078229904175
257962,2.3175716400146484
257963,2.3208365440368652
257964,2.2836973667144775
257965,2.3633179664611816
257966,2.259354591369629
257967,2.302530288696289
257968,2.3376524448394775
257969,2.3427460193634033
257970,2.344705820083618
257971,2.298110008239746
257972,2.3855628967285156
257973,2.266350030899048
257974,2.2811121940612793
257975,2.264091730117798
257976,2.382314682006836
257977,2.2935092449188232
257978,2.326883316040039
257979,2.3814632892608643
257980,2.325031042098999
257981,2.347935438156128
257982,2.3453264236450195
257983,2.3203916549682617
257984,2.3036704063415527
257985,2.3557090759277344
257986,2.295896291732788
257987,2.4106998443603516
257988,2.344224691390991
257989,2.311035633087158
257990,2.337930917739868
257991,2.3374669551849365
257992,2.362340211868286
257993,2.2669949531555176
257994,2.3730227947235107
257995,2.3203933238983154
257996,2.3067922592163086
257997,2.3688580989837646
257998,2.358952522277832
257999,2.3339035511016846
258000,2.3317179679870605
258001,2.2822039127349854
258002,2.2765471935272217
258003,2.3102517127990723
258004,2.3549466133117676
258005,2.358041524887085
258006,2.248166561126709
258007,2.289874792098999
258008,2.342381000518799
258009,2.3485267162323
258010,2.329791784286499
258011,2.3141860961914062
258012,2.311105489730835
258013,2.330465316772461
258014,2.3394711017608643
258015,2.300661325454712
258016,2.2596614360809326
258017,2.255648612976074
258018,2.2804508209228516
258019,2.354839563369751
258020,2.2736895084381104
258021,2.314300060272217
258022,2.3899965286254883
258023,2.3475000858306885
258024,2.2526192665100098
258025,2.374929189682007
258026,2.3524820804595947
258027,2.27840256690979
258028,2.351921558380127
258029,2.326038360595703
258030,2.3443262577056885
258031,2.304384231567383
258032,2.2699053287506104
258033,2.3187217712402344
258034,2.3463034629821777
258035,2.3244285583496094
258036,2.309875249862671
258037,2.305729866027832
258038,2.2767510414123535
258039,2.367757797241211
258040,2.2648766040802
258041,2.2873001098632812
258042,2.306211233139038
258043,2.3965117931365967
258044,2.3539879322052
258045,2.312654495239258
258046,2.3182175159454346
258047,2.321971893310547
258048,2.2879109382629395
258049,2.3656468391418457
258050,2.373779773712158
258051,2.387178421020508
258052,2.2965691089630127
258053,2.2954001426696777
258054,2.337989330291748
258055,2.3581879138946533
258056,2.3029186725616455
258057,2.26357364654541
258058,2.294433355331421
258059,2.402470350265503
258060,2.223371982574463
258061,2.2751665115356445
258062,2.2970848083496094
258063,2.2903974056243896
258064,2.288541078567505
258065,2.3313024044036865
258066,2.386378049850464
258067,2.2960355281829834
258068,2.2873034477233887
258069,2.29020619392395
258070,2.3635950088500977
258071,2.3928425312042236
258072,2.374439001083374
258073,2.319483995437622
258074,2.328084945678711
258075,2.4129116535186768
258076,2.3254599571228027
258077,2.3364498615264893
258078,2.3217859268188477
258079,2.295145034790039
258080,2.2725443840026855
258081,2.30899977684021
258082,2.282088041305542
258083,2.342500925064087
258084,2.330177068710327
258085,2.313775062561035
258086,2.2391695976257324
258087,2.3247783184051514
258088,2.346945285797119
258089,2.3190762996673584
258090,2.309317111968994
258091,2.285706043243408
258092,2.3277103900909424
258093,2.3200323581695557
258094,2.3504111766815186
258095,2.3332629203796387
258096,2.288914680480957
258097,2.265352725982666
258098,2.2694597244262695
258099,2.2691421508789062
258100,2.3511953353881836
258101,2.3292112350463867
258102,2.2733373641967773
258103,2.2632715702056885
258104,2.285120964050293
258105,2.261031150817871
258106,2.326968193054199
258107,2.3113934993743896
258108,2.3481264114379883
258109,2.314396619796753
258110,2.313840866088867
258111,2.3165977001190186
258112,2.3224873542785645
258113,2.344130754470825
258114,2.300204038619995
258115,2.3244922161102295
258116,2.337648630142212
258117,2.357915163040161
258118,2.3525660037994385
258119,2.3460705280303955
258120,2.2462828159332275
258121,2.3890180587768555
258122,2.35021710395813
258123,2.337203025817871
258124,2.3588178157806396
258125,2.3179080486297607
258126,2.3053295612335205
258127,2.287956476211548
258128,2.3954410552978516
258129,2.3162622451782227
258130,2.413151979446411
258131,2.3114471435546875
258132,2.2555129528045654
258133,2.341665267944336
258134,2.293804883956909
258135,2.2684144973754883
258136,2.3292388916015625
258137,2.331230640411377
258138,2.3282811641693115
258139,2.314922332763672
258140,2.3213727474212646
258141,2.3502964973449707
258142,2.3138420581817627
258143,2.29864764213562
258144,2.359065055847168
258145,2.32708477973938
258146,2.339935541152954
258147,2.245073080062866
258148,2.336247682571411
258149,2.322288751602173
258150,2.261394739151001
258151,2.3068604469299316
258152,2.3795595169067383
258153,2.3368637561798096
258154,2.357834577560425
258155,2.2754151821136475
258156,2.310187578201294
258157,2.3568553924560547
258158,2.3436121940612793
258159,2.294560670852661
258160,2.25162672996521
258161,2.291353940963745
258162,2.285419225692749
258163,2.3275840282440186
258164,2.3698439598083496
258165,2.3156793117523193
258166,2.3232011795043945
258167,2.2452423572540283
258168,2.276350975036621
258169,2.299607515335083
258170,2.365946054458618
258171,2.263031244277954
258172,2.364124298095703
258173,2.4012198448181152
258174,2.376436471939087
258175,2.283184766769409
258176,2.2616798877716064
258177,2.426008701324463
258178,2.3268439769744873
258179,2.365659713745117
258180,2.3360660076141357
258181,2.375833511352539
258182,2.2991466522216797
258183,2.2983710765838623
258184,2.3819031715393066
258185,2.2886264324188232
258186,2.312995195388794
258187,2.241790294647217
258188,2.365636110305786
258189,2.257394313812256
258190,2.370328426361084
258191,2.3161966800689697
258192,2.3038203716278076
258193,2.3183345794677734
258194,2.2932331562042236
258195,2.34041166305542
258196,2.3785743713378906
258197,2.3373634815216064
258198,2.319530963897705
258199,2.261073589324951
258200,2.3561367988586426
258201,2.3464603424072266
258202,2.340799331665039
258203,2.3681039810180664
258204,2.220041275024414
258205,2.3600192070007324
258206,2.289604663848877
258207,2.2254552841186523
258208,2.3252947330474854
258209,2.35975980758667
258210,2.374809741973877
258211,2.32590913772583
258212,2.281158447265625
258213,2.332110643386841
258214,2.3632395267486572
258215,2.327955961227417
258216,2.3597395420074463
258217,2.3134310245513916
258218,2.4010355472564697
258219,2.281355857849121
258220,2.312854051589966
258221,2.319333553314209
258222,2.334195375442505
