step,value,wall_time
515885,2.344693660736084,1788567107.6298678
515886,2.3119664192199707,1788567107.820804
515887,2.2118165493011475,1788567107.9834223
515888,2.3524413108825684,1788567108.1447008
515889,2.263622522354126,1788567108.3070495
515890,2.2709813117980957,1788567108.469705
515891,2.285956382751465,1788567108.6338449
515892,2.2605292797088623,1788567108.800367
515893,2.257648229598999,1788567108.9722097
515894,2.263392686843872,1788567109.1347225
515895,2.295764446258545,1788567109.297443
515896,2.202805757522583,1788567109.460157
515897,2.222362518310547,1788567109.6223626
515898,2.2047038078308105,1788567109.782898
515899,2.2513065338134766,1788567109.9483185
515900,2.203864097595215,1788567110.1032057
515901,2.2487406730651855,1788567110.265088
515902,2.2238380908966064,1788567110.4272144
515903,2.228668451309204,1788567110.5896025
515904,2.217658042907715,1788567110.750209
515905,2.296128034591675,1788567110.9121492
515906,2.247756242752075,1788567111.0749168
515907,2.2775189876556396,1788567111.2399461
515908,2.3149735927581787,1788567111.4034402
515909,2.3044028282165527,1788567111.5665572
515910,2.292870044708252,1788567111.7286365
515911,2.2868690490722656,1788567111.8931975
515912,2.202960968017578,1788567112.0563362
515913,2.240795373916626,1788567112.2188027
515914,2.2495996952056885,1788567112.381994
515915,2.261708974838257,1788567112.5444555
515916,2.3005075454711914,1788567112.706092
515917,2.272947311401367,1788567112.8673334
515918,2.2879199981689453,1788567113.0291634
515919,2.260119915008545,1788567113.1909235
515920,2.2636029720306396,1788567113.3533185
515921,2.2598509788513184,1788567113.5181735
515922,2.311361074447632,1788567113.6789792
515923,2.301877975463867,1788567113.8423197
515924,2.276071786880493,1788567114.0032978
515925,2.2377498149871826,1788567114.1656919
515926,2.322523355484009,1788567114.3282208
515927,2.2550323009490967,1788567114.492376
515928,2.3060595989227295,1788567114.6545227
515929,2.2841920852661133,1788567114.81818
515930,2.3237874507904053,1788567114.9795246
515931,2.2293429374694824,1788567115.140913
515932,2.2124199867248535,1788567115.3022642
515933,2.3402063846588135,1788567115.4652207
515934,2.3372292518615723,1788567115.6284719
515935,2.2464253902435303,1788567115.7920103
515936,2.266444206237793,1788567115.9545376
515937,2.3135452270507812,1788567116.117422
515938,2.266831159591675,1788567116.280382
515939,2.2763772010803223,1788567116.4437454
515940,2.20353364944458,1788567116.6074235
515941,2.3008973598480225,1788567116.77126
515942,2.2751646041870117,1788567116.9328299
515943,2.240384101867676,1788567117.0954022
515944,2.219799041748047,1788567117.2560804
515945,2.248563051223755,1788567117.4172356
515946,2.314582586288452,1788567117.580976
515947,2.2845165729522705,1788567117.7433112
515948,2.2943849563598633,1788567117.9055285
515949,2.2639577388763428,1788567118.0689662
515950,2.235197067260742,1788567118.2313364
515951,2.240023374557495,1788567118.394871
515952,2.244335651397705,1788567118.5563712
515953,2.1936545372009277,1788567118.7279751
515954,2.2684905529022217,1788567118.8915973
515955,2.301788806915283,1788567119.055418
515956,2.2877018451690674,1788567119.2199702
515957,2.304138422012329,1788567119.3840084
515958,2.2451112270355225,1788567119.5469966
515959,2.3439769744873047,1788567119.7108436
515960,2.231950044631958,1788567119.873206
515961,2.201827049255371,1788567120.038464
515962,2.2574000358581543,1788567120.2066932
515963,2.2976107597351074,1788567120.3701673
515964,2.279458999633789,1788567120.5345728
515965,2.2647759914398193,1788567120.6997778
515966,2.1842663288116455,1788567120.8658264
515967,2.2515146732330322,1788567121.0307794
515968,2.2042248249053955,1788567121.1950765
515969,2.155705690383911,1788567121.3606727
515970,2.2244083881378174,1788567121.5233066
515971,2.2490005493164062,1788567121.686907
515972,2.3030223846435547,1788567121.8496716
515973,2.29673171043396,1788567122.0133445
515974,2.3159751892089844,1788567122.1796844
515975,2.192533254623413,1788567122.3456042
515976,2.243551015853882,1788567122.5114915
515977,2.287830352783203,1788567122.6778016
515978,2.224525213241577,1788567122.8448634
515979,2.2149040699005127,1788567123.0090494
515980,2.2451112270355225,1788567123.1712017
515981,2.2439756393432617,1788567123.3344696
515982,2.270479440689087,1788567123.4962046
515983,2.278287410736084,1788567123.6594834
515984,2.2754321098327637,1788567123.8224761
515985,2.261226177215576,1788567123.9849372
515986,2.2712926864624023,1788567124.1461694
515987,2.2560038566589355,1788567124.3093524
515988,2.284425973892212,1788567124.4739473
515989,2.27358078956604,1788567124.6414025
515990,2.2556886672973633,1788567124.8073936
515991,2.247868061065674,1788567124.9720485
515992,2.2562990188598633,1788567125.1373315
515993,2.2682955265045166,1788567125.302525
515994,2.2586517333984375,1788567125.463789
515995,2.220895290374756,1788567125.627805
515996,2.2498228549957275,1788567125.7914414
515997,2.2791457176208496,1788567125.9533792
515998,2.3203790187835693,1788567126.1158097
515999,2.2333953380584717,1788567126.279165
516000,2.280062437057495,1788567126.4406297
516001,2.231381416320801,1788567128.1440074
516002,2.3010754585266113,1788567128.3082626
516003,2.2909560203552246,1788567128.471658
516004,2.252134323120117,1788567128.637788
516005,2.311674118041992,1788567128.80845
516006,2.2620208263397217,1788567128.974474
516007,2.1936941146850586,1788567129.1384718
516008,2.242342233657837,1788567129.3019507
516009,2.2378387451171875,1788567129.4658835
516010,2.2739288806915283,1788567129.6301906
516011,2.3227226734161377,1788567129.7937372
516012,2.257997989654541,1788567129.9592946
516013,2.3172414302825928,1788567130.1270115
516014,2.3098137378692627,1788567130.2975304
516015,2.2016608715057373,1788567130.4622111
516016,2.2721784114837646,1788567130.6263094
516017,2.2657248973846436,1788567130.791828
516018,2.2009854316711426,1788567130.9579973
516019,2.263808250427246,1788567131.1236084
516020,2.274113416671753,1788567131.2887456
516021,2.256988286972046,1788567131.455076
516022,2.2232577800750732,1788567131.6202085
516023,2.206603527069092,1788567131.7832127
516024,2.234562873840332,1788567131.9475284
516025,2.203770399093628,1788567132.112349
516026,2.293868064880371,1788567132.2785053
516027,2.2609639167785645,1788567132.445933
516028,2.2652530670166016,1788567132.6124752
516029,2.214858055114746,1788567132.7775905
516030,2.246950387954712,1788567132.9418154
516031,2.2786757946014404,1788567133.1063316
516032,2.2290878295898438,1788567133.2707229
516033,2.2979259490966797,1788567133.4358556
516034,2.248577356338501,1788567133.6021068
516035,2.2417960166931152,1788567133.769435
516036,2.255873680114746,1788567133.9358842
516037,2.2779626846313477,1788567134.1010914
516038,2.1839029788970947,1788567134.2651052
516039,2.2929890155792236,1788567134.428137
516040,2.3240604400634766,1788567134.5931666
516041,2.2745351791381836,1788567134.758997
516042,2.29338002204895,1788567134.9258916
516043,2.228205680847168,1788567135.0928261
516044,2.278722047805786,1788567135.2584014
516045,2.2701215744018555,1788567135.4235725
516046,2.2310783863067627,1788567135.588097
516047,2.286612033843994,1788567135.7538795
516048,2.3552184104919434,1788567135.9193282
516049,2.2262325286865234,1788567136.0858495
516050,2.2950451374053955,1788567136.2517784
516051,2.237407684326172,1788567136.4187324
516052,2.2420647144317627,1788567136.5843582
516053,2.194214344024658,1788567136.7530982
516054,2.2999305725097656,1788567136.913976
516055,2.3028032779693604,1788567137.0806577
516056,2.221343755722046,1788567137.2480173
516057,2.244990348815918,1788567137.414368
516058,2.2877304553985596,1788567137.5806391
516059,2.2282214164733887,1788567137.73823
516060,2.2956435680389404,1788567137.9052062
516061,2.2720770835876465,1788567138.06889
516062,2.2799041271209717,1788567138.2352295
516063,2.255950450897217,1788567138.3983014
516064,2.2197020053863525,1788567138.5650692
516065,2.316652536392212,1788567138.7400634
516066,2.2868263721466064,1788567138.9050913
516067,2.2426583766937256,1788567139.0700543
516068,2.270935535430908,1788567139.2361996
516069,2.2812554836273193,1788567139.4032624
516070,2.2204484939575195,1788567139.5704408
516071,2.3038899898529053,1788567139.7367175
516072,2.2917845249176025,1788567139.9030242
516073,2.3436553478240967,1788567140.0683303
516074,2.2648701667785645,1788567140.2359638
516075,2.2645492553710938,1788567140.4029016
516076,2.2167906761169434,1788567140.5698109
516077,2.2694613933563232,1788567140.738381
516078,2.3400652408599854,1788567140.90785
516079,2.2113094329833984,1788567141.0877397
516080,2.267150640487671,1788567141.2582543
516081,2.329340934753418,1788567141.4237416
516082,2.246896982192993,1788567141.5892625
516083,2.353131055831909,1788567141.7549298
516084,2.267505168914795,1788567141.9217746
516085,2.242074728012085,1788567142.0887055
516086,2.265747547149658,1788567142.2576036
516087,2.300200939178467,1788567142.4242232
516088,2.2401764392852783,1788567142.5923285
516089,2.3730807304382324,1788567142.7626867
516090,2.2683308124542236,1788567142.9314172
516091,2.2865357398986816,1788567143.096828
516092,2.2936441898345947,1788567143.2637055
